category_id,name
1,Elektronik
2,Computer
3,Fotografie
6,Fashion
7,Food
8,Imbiss
9,Kaffee & Kuchen
10,Restaurant
11,Freizeit
12,Bäder
15,Freizeitparks
16,Indoor
21,Health & Beauty
22,Apotheke
23,Coiffure
24,Fotoshooting
25,Kosmetik/Parfum
26,Optiker
27,Tattoo & Piercing
28,Home & Living
29,Einrichtung
30,Haushaltsgeräte
31,Reisen
32,Autovermietung
33,Hotels
34,Partyferien
35,School & Education
36,Drucken & Binden
37,Fahrschule
38,Sprachaufenthalt
39,Taschenrechner
40,Sport
41,Fitness
42,Fussball
43,Skaten
44,Bike
45,Wandern
46,Unterhaltung
47,Bar
48,Club
56,Kino
57,Konzerte
58,Kultur
59,Magazin/Zeitungen
60,Openair
61,Streaming
62,Sportevent
63,Party
64,Outdoor
65,Fahrzeuge
66,Auto
67,Velo
68,Moto
69,Fahrzeugservice
70,Smartphone
71,Tablet
72,Elektronikservice
76,Finanzen
77,Schuhe
78,Accessoires
79,Kleider
81,Mottobekleidung
90,Fahrdienst
91,Musik
92,Take Away
93,DVD/Blu-ray
96,Zahnarzt
110,Wassersport
111,Wassersport
